highway,cycleway,cycleway:both,cycleway:left,cycleway:right,cycleway:buffer,cycleway:separation,cycleway_all,cycleway_type
residential,,,,,,,[],
residential,,,,,,,[],
cycleway,,,,,,,[],
primary,,lane,lane,,,,"['lane', 'lane']",lane
service,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
service,,,,,,,[],
tertiary,,shared_lane,,,,,['shared_lane'],shared_lane
tertiary,,shared_lane,,,,,['shared_lane'],shared_lane
residential,,,,,,,[],
tertiary,,shared_lane,,,,,['shared_lane'],shared_lane
tertiary,,shared_lane,,,,,['shared_lane'],shared_lane
service,,,,,,,[],
tertiary,,shared_lane,,,,,['shared_lane'],shared_lane
residential,,,,,,,[],
tertiary,,shared_lane,"['lane', 'no']","['shared_lane', 'lane']",,,"['shared_lane', 'lane', 'no', 'shared_lane', 'lane']",lane
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
residential,,,,,,,[],
tertiary,,,lane,shared_lane,,,"['lane', 'shared_lane']",lane
tertiary,,shared_lane,"['lane', 'no']","['shared_lane', 'lane']",,,"['shared_lane', 'lane', 'no', 'shared_lane', 'lane']",lane
service,,,,,,,[],
secondary,,separate,,,,yes,['separate'],separate
secondary,,separate,,,,yes,['separate'],separate
service,,,,,,,[],
secondary,,separate,,,,yes,['separate'],separate
secondary,,separate,,,,yes,['separate'],separate
residential,,no,,,,,[],
secondary,,separate,,,,yes,['separate'],separate
secondary,,separate,,,,yes,['separate'],separate
secondary,,,shared_lane,lane,,,"['shared_lane', 'lane']",lane
secondary,,,"['shared_lane', 'lane']","['shared_lane', 'lane']",,,"['shared_lane', 'lane', 'shared_lane', 'lane']",lane
secondary,,,shared_lane,lane,,,"['shared_lane', 'lane']",lane
secondary,,,shared_lane,lane,,,"['shared_lane', 'lane']",lane
service,,,,,,,[],
primary,,,no,track,,,['track'],track
secondary,,,no,separate,,,['separate'],separate
primary,separate,,,,,,['separate'],separate
secondary,,,"['shared_lane', 'lane']","['shared_lane', 'lane']",,,"['shared_lane', 'lane', 'shared_lane', 'lane']",lane
cycleway,,,,,,,[],
cycleway,,,,,,,[],
primary,,,no,track,,,['track'],track
secondary,,,share_busway,separate,,,"['share_busway', 'separate']",separate
secondary,,,no,share_busway,,,['share_busway'],share_busway
primary,separate,,,,,,['separate'],separate
primary_link,,,,,,,[],
primary,separate,,,,,,['separate'],separate
service,,,,,,,[],
cycleway,,,,,,,[],
service,,,,,,,[],
secondary,,,share_busway,separate,,,"['share_busway', 'separate']",separate
residential,,no,,,,,[],
secondary,,,share_busway,separate,,,"['share_busway', 'separate']",separate
residential,,no,,,,,[],
service,,,,,,,[],
residential,,no,,,,,[],
secondary,,,share_busway,separate,,,"['share_busway', 'separate']",separate
service,,,,,,,[],
secondary,,,share_busway,separate,,,"['share_busway', 'separate']",separate
residential,shared_lane,,,,,,['shared_lane'],shared_lane
living_street,shared_lane,,,,,,['shared_lane'],shared_lane
